Month,total,bsu,eu,Covid_policy
2017-01-01,100.12903225806451,0.00022878059940517042,0.05368156203083154,0.0
2017-02-01,112.07142857142857,0.0013099444975372073,0.05411778453983541,0.0
2017-03-01,98.3225806451613,0.0035523135769692997,0.08134966703145177,0.0
2017-04-01,106.53333333333333,0.00026041666666666666,0.05096117174346567,0.0
2017-05-01,107.6774193548387,0.0002733734281027884,0.04383827124171183,0.0
2017-06-01,120.7,0.0017050281100333602,0.06089286070360998,0.0
2017-07-01,107.45161290322581,0.0009484691134611813,0.06202156812560532,0.0
2017-08-01,95.93548387096774,0.0006454194581058229,0.06471939793893017,0.0
2017-09-01,93.86666666666666,0.001685848252344416,0.056463464345711804,0.0
2017-10-01,69.64516129032258,0.0005949998665919582,0.057490713161682,0.0
2017-11-01,113.76666666666667,0.0005545666164589895,0.05695031532460395,0.0
2017-12-01,98.74193548387096,0.00031017369727047146,0.05503366867986224,0.0
2018-01-01,117.53333333333333,0.0009727037668214139,0.06397087431646566,0.0
2018-02-01,95.17857142857143,0.0005864531692214181,0.03397399377499854,0.0
2018-03-01,96.19354838709677,0.0022828784119106704,0.06847654414234082,0.0
2018-04-01,103.36666666666666,0.0002506265664160401,0.06094144017584914,0.0
2018-05-01,115.03225806451613,0.001504022840908783,0.050303528824436616,0.0
2018-06-01,110.63333333333334,0.0015033250595634048,0.058234404424680974,0.0
2018-07-01,111.58064516129032,0.003018552453713878,0.059306209490987305,0.0
2018-08-01,112.54838709677419,0.0021239252890076677,0.056410693759054456,0.0
2018-09-01,94.56666666666666,0.001486555864430038,0.04748327807628954,0.0
2018-10-01,89.87096774193549,0.0023040733415116035,0.06015568233066139,0.0
2018-11-01,101.63333333333334,0.001086816695339502,0.0776727435902989,0.0
2018-12-01,82.54838709677419,0.00048146364949446316,0.06809953381104901,0.0
2019-01-01,74.19354838709677,0.002098499239025607,0.072657968785301,0.0
2019-02-01,67.28571428571429,0.0007154304029304029,0.05744147250376462,0.0
2019-03-01,73.48387096774194,0.003029109187062732,0.08538754307738138,0.0
2019-04-01,83.36666666666666,0.0006410849129295731,0.06002611987163804,0.0
2019-05-01,79.38709677419355,0.0003325573661456601,0.060440572513641995,0.0
2019-06-01,75.9,0.0035630131272869304,0.07708686098214843,0.0
2019-07-01,78.29032258064517,0.0019019661605311955,0.06395606141390402,0.0
2019-08-01,65.45161290322581,0.0004962779156327543,0.08776411523091668,0.0
2019-09-01,57.4,0.001905870866545024,0.06969033713874104,0.0
2019-10-01,68.80645161290323,0.00033955857385398983,0.05507471501191797,0.0
2019-11-01,80.16666666666667,0.0017242814874288178,0.07418332774112214,0.0
2019-12-01,79.16129032258064,0.00037509377344336085,0.06366669842099426,0.0
2020-01-01,72.54838709677419,0.0014258061892750578,0.06181714734512259,0.050100375875317224
2020-02-01,81.34482758620689,0.00035919540229885057,0.0743171225177944,0.23225066112313322
2020-03-01,79.87096774193549,0.0014390234826802443,0.11062761639923643,0.17849246626673476
2020-04-01,82.1,0.001851724397861832,0.09654557947322867,0.1360630379438427
2020-05-01,65.12903225806451,0.00841756736569832,0.12284034899554054,0.08670236756677391
2020-06-01,80.0,0.001979797186671283,0.0736377071077503,0.05687049628418625
2020-07-01,87.29032258064517,0.0015016398887366627,0.09534750681526873,0.03909868312104775
2020-08-01,77.6774193548387,0.0017074500140037527,0.08517011710365416,0.03130668402923668
2020-09-01,75.06666666666666,0.0013388150959308454,0.08912188691898419,0.042228726428923176
2020-10-01,63.0,0.0003072196620583718,0.07717583419125748,0.023023159888376325
2020-11-01,71.86666666666666,0.0,0.08228387105592622,0.015614780878411354
2020-12-01,74.93548387096774,0.0,0.0727526453571629,0.014965576368388283
2021-01-01,78.16129032258064,0.0,0.09479636572741701,0.019372486988739814
2021-02-01,64.03571428571429,0.0003720238095238095,0.05644586400970186,0.01432666443571928
2021-03-01,77.51612903225806,0.0014775873331881668,0.08075233999441914,0.012611215333393435
2021-04-01,81.1,0.0,0.06033824715863445,0.009342670987423354
2021-05-01,61.87096774193548,0.0,0.057644040820623785,0.01580792064307317
2021-06-01,66.3,0.0,0.05844986171867028,0.009818882653637503
2021-07-01,68.7741935483871,0.0,0.08156226989307196,0.007553444681936955
2021-08-01,72.80645161290323,0.0,0.071795461310411,0.016570025332968526
2021-09-01,71.23333333333333,0.0,0.06410100850594931,0.013214535110267215
2021-10-01,60.61290322580645,0.0004032258064516129,0.05971464728912624,0.009928035798412619
2021-11-01,70.9,0.0003787878787878788,0.08116668150281756,0.008179732530918325
2021-12-01,69.74193548387096,0.0004743833017077799,0.0950910313834305,0.010510112829267837
2022-01-01,68.90322580645162,0.0003325573661456601,0.07330057940561177,0.01179272518703843
2022-02-01,65.0,0.0,0.04821555028562235,0.009254150544231576
2022-03-01,71.64516129032258,0.002333752109275887,0.08334214823142772,0.01900641154712538
2022-04-01,74.6,0.0,0.07057671510351078,0.037459369028736735
2022-05-01,75.19354838709677,0.00034686090877558104,0.07123266654926629,0.06405243905228143
2022-06-01,80.86666666666666,0.0002976190476190476,0.08726866888562898,0.03702346123587937
2022-07-01,77.87096774193549,0.00031938677738741617,0.07368641956868088,0.006139496897380723
2022-08-01,81.7741935483871,0.0,0.06745641868109241,0.0050392934801635324
2022-09-01,78.8,0.0,0.06459527880128978,0.003327227937934493
2022-10-01,57.29032258064516,0.0,0.08362633267728603,0.00525133959336764
2022-11-01,75.06666666666666,0.0,0.09593892069406346,0.022343497020330307
2022-12-01,75.74193548387096,0.0,0.0785519565081057,0.03380287569593279
